Energy-Fuel Combustions-Energy Industries-Public Electricity and Heat Production,193008.14
Energy-Fuel Combustions-Energy Industries-Petroleum Refining,5106.78
Energy-Fuel Combustions-Energy Industries-Manufatureof Solid Fuels and Other Energy Industries-Manufacture of Solid Fuels,1708.90
Energy-Fuel Combustions-Energy Industries-Manufatureof Solid Fuels and Other Energy Industries-Other Energy Industries-Coal Mining,6676.41 
Energy-Fuel Combustions-Energy Industries-Manufatureof Solid Fuels and Other Energy Industries-Other Energy Industries-Gas Production and Distribution,452.50
Energy-Fuel Combustions-Energy Industries-Manufature of Solid Fuels and Other Energy Industries-Other Energy Industries-NaturalGasTransmission,991.07
Energy-Fuel Combustions-Energy Industries-Manufature of Solid Fuels and Other Energy Industries-Other Energy Industries-Oil and Gas Extraction,13618.13
Energy-Fuel Combustions-Manufacturing Industries and Construction-IronandSteel,2152.43
Energy-Fuel Combustions-Manufacturing Industries and Construction-NonFerrous Metals,14305.74
Energy-Fuel Combustions-Manufacturing Industries and Construction-Chemicals-PetroleumandCoalProduct,478.88
Energy-Fuel Combustions-Manufacturing Industries and Construction-Chemicals-Basic Chemical Manufacturing,5189.08
Energy-Fuel Combustions-Manufacturing Industries and Construction-Chemicals-OtherChemicals,Rubber and PlasticProducts,0.00
Energy-Fuel Combustions-Manufacturing Industries and Construction-Pulp,PaperandPrint,1321.37
Energy-Fuel Combustions-Manufacturing Industries and Construction-Food Processing,Beverages and Tobacco,2712.36
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Mining(non-energy),6104.88
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Cement Lime Plaster and Concrete Manufacturing,3150.08
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-CeramicManufacturing,1266.96
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-GlassandGlassProductManufacturing,626.44
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-NonMetallic Mineral Product,227.10
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Machinery and Equipment,249.46
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Other Manufacturing,73.57
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Other Metal Manufacturing,60.24
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Textile,Clothing,Footware and Leather,325.25
Energy-Fuel Combustions-Manufacturing Industries and Construction-Other-Construction,1703.76
Energy-Fuel Combustions-Manufacturing Industries and Construction-CivilAviation-Domestic,7439.80
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-Cars,43780.35
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-LightCommercialVehicles,13201.43
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-Buses,1852.83
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-Heavy Duty Trucks,10732.38
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-MediumDutyTrucks,6877.67
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-Motorcycles,265.13
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-Railways,2803.60
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-DomesticPleasureCrafts,3207.62
Energy-Fuel Combustions-Manufacturing Industries and Construction-Road Transportation-OffRoadVehicles,44.93
Energy-Fuel Combustions-Manufacturing Industries and Construction-CommercialInstitutional,4582.81
Energy-Fuel Combustions-Manufacturing Industries and Construction-Residential-Lawnmovers,309.95
Energy-Fuel Combustions-Manufacturing Industries and Construction-Residential-other,9293.60
Energy-Fuel Combustions-Manufacturing Industries and Construction-Agriculture,ForestyandFishing,6177.16
Energy-Fuel Combustions-Manufacturing Industries and Construction-LubricantsandGrease,479.88
Energy-Fuel Combustions-Manufacturing Industries and Construction-Military-Air,581.40
Energy-Fuel Combustions-Manufacturing Industries and Construction-Military-Land,45.48
Energy-Fuel Combustions-Manufacturing Industries and Construction-Military-Sea,244.42
Energy-Fugitive Emissions From Fuels-Solid Fuels-Coal Mining-MiningActivities,16817.65
Energy-Fugitive Emissions From Fuels-Solid Fuels-Coal Mining-Post-Mining Activities,770.48
Energy-Fugitive Emissions From Fuels-Solid Fuels-Coal Mining-Mining Activities,8693.89
Energy-Fugitive Emissions From Fuels-Solid Fuels-Other-DecommissionedMines,526.12
Energy-Fugitive Emissions From Fuels-Solid Fuels-Other-Flaring,206.76
Energy-Fugitive Emissions From Fuels-Oil and Natural Gas-Oil-CrudeOilProduction,63.31
Energy-Fugitive Emissions From Fuels-Oil and Natural Gas-Oil-Flaring,240.39
